season,team_abbreviation,wins,losses,playoffs
2025-26,,56,26,
2024-25,,61,21,
2023-24,,64,18,
2022-23,,57,25,
2021-22,,51,31,
2020-21,,36,36,
2019-20,,48,24,
2018-19,,49,33,
2017-18,,55,27,
2016-17,,53,29,
2015-16,,48,34,
2014-15,,40,42,
2013-14,,25,57,
2012-13,,41,40,
2011-12,,39,27,
2010-11,,56,26,
2009-10,,50,32,
2008-09,,62,20,
2007-08,,66,16,
2006-07,,24,58,
2005-06,,33,49,
2004-05,,45,37,
2003-04,,36,46,
2002-03,,44,38,
2001-02,,49,33,
2000-01,,36,46,
1999-00,,35,47,
1998-99,,19,31,
1997-98,,36,46,
1996-97,,15,67,
1995-96,,33,49,
1994-95,,35,47,
1993-94,,32,50,
1992-93,,48,34,
1991-92,,51,31,
1990-91,,56,26,
1989-90,,52,30,
1988-89,,42,40,
1987-88,,57,25,
1986-87,,59,23,
1985-86,,67,15,
1984-85,,63,19,
1983-84,,62,20,
1982-83,,56,26,
1981-82,,63,19,
1980-81,,62,20,
1979-80,,61,21,
1978-79,,29,53,
1977-78,,32,50,
1976-77,,44,38,
1975-76,,54,28,
1974-75,,60,22,
1973-74,,56,26,
1972-73,,68,14,
1971-72,,56,26,
1970-71,,44,38,
1969-70,,34,48,
1968-69,,48,34,
1967-68,,54,28,
1966-67,,60,21,
1965-66,,54,26,
1964-65,,62,18,
1963-64,,59,21,
1962-63,,58,22,
1961-62,,60,20,
1960-61,,57,22,
1959-60,,59,16,
1958-59,,52,20,
1957-58,,49,23,
1956-57,,44,28,
1955-56,,39,33,
1954-55,,36,36,
1953-54,,42,30,
1952-53,,46,25,
1951-52,,39,27,
1950-51,,39,30,
1949-50,,22,46,
1948-49,,25,35,
1947-48,,20,28,
1946-47,,22,38,
