name_display,pos,age,team_name_abbr,games,games_started,mp,fg_per_36_min,fga_per_36_min,fg_pct,fg3_per_36_min,fg3a_per_36_min,fg3_pct,fg2_per_36_min,fg2a_per_36_min,fg2_pct,ft_per_36_min,fta_per_36_min,ft_pct,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
Michael Finley,SF,26,DAL,82,82,3464,,,0.457,,,0.401,,,0.467,,,0.82,,,,,,,,,
Gary Payton,PG,31,SEA,82,82,3425,,,0.448,,,0.34,,,0.497,,,0.735,,,,,,,,,
Latrell Sprewell,SF,29,NYK,82,82,3276,,,0.435,,,0.346,,,0.445,,,0.866,,,,,,,,,
Kevin Garnett,PF,23,MIN,81,81,3243,,,0.497,,,0.37,,,0.504,,,0.765,,,,,,,,,
Shareef Abdur-Rahim,SF,23,VAN,82,82,3223,,,0.465,,,0.302,,,0.478,,,0.809,,,,,,,,,
Allan Houston,SG,28,NYK,82,82,3169,,,0.483,,,0.436,,,0.494,,,0.838,,,,,,,,,
Shaquille O'Neal,C,27,LAL,79,79,3163,,,0.574,,,0.0,,,0.575,,,0.524,,,,,,,,,
Mike Bibby,PG,21,VAN,82,82,3155,,,0.445,,,0.363,,,0.466,,,0.78,,,,,,,,,
Jerry Stackhouse,SG,25,DET,82,82,3148,,,0.428,,,0.288,,,0.462,,,0.815,,,,,,,,,
Anthony Mason,SF,33,CHH,82,81,3133,,,0.48,,,0.0,,,0.48,,,0.746,,,,,,,,,
Vince Carter,SF,23,TOR,82,82,3126,,,0.465,,,0.403,,,0.475,,,0.791,,,,,,,,,
Michael Dickerson,SG,24,VAN,82,82,3103,,,0.436,,,0.409,,,0.444,,,0.83,,,,,,,,,
Ray Allen,SG,24,MIL,82,82,3070,,,0.455,,,0.423,,,0.468,,,0.887,,,,,,,,,
Antoine Walker,PF,23,BOS,82,82,3003,,,0.43,,,0.256,,,0.471,,,0.699,,,,,,,,,
Elton Brand,PF,20,CHI,81,80,2999,,,0.482,,,0.0,,,0.483,,,0.685,,,,,,,,,
Reggie Miller,SG,34,IND,81,81,2987,,,0.448,,,0.408,,,0.473,,,0.919,,,,,,,,,
Dikembe Mutombo,C,33,ATL,82,82,2984,,,0.562,,,0.0,,,0.562,,,0.708,,,,,,,,,
Jalen Rose,SF,27,IND,80,80,2978,,,0.471,,,0.393,,,0.486,,,0.827,,,,,,,,,
Nick Van Exel,PG,28,DEN,79,79,2950,,,0.39,,,0.332,,,0.419,,,0.817,,,,,,,,,
Karl Malone,PF,36,UTA,82,82,2947,,,0.509,,,0.25,,,0.511,,,0.797,,,,,,,,,
Dirk Nowitzki,PF,21,DAL,82,81,2938,,,0.461,,,0.379,,,0.491,,,0.83,,,,,,,,,
Lindsey Hunter,PG,29,DET,82,82,2919,,,0.425,,,0.432,,,0.419,,,0.76,,,,,,,,,
Juwan Howard,PF,26,WAS,82,82,2909,,,0.459,,,0.0,,,0.462,,,0.735,,,,,,,,,
Glenn Robinson,SF,27,MIL,81,81,2909,,,0.472,,,0.363,,,0.493,,,0.802,,,,,,,,,
Bryon Russell,SF,29,UTA,82,70,2900,,,0.446,,,0.396,,,0.467,,,0.75,,,,,,,,,
Sam Cassell,PG,30,MIL,81,81,2899,,,0.466,,,0.289,,,0.481,,,0.876,,,,,,,,,
Stephon Marbury,PG,22,NJN,74,74,2881,,,0.432,,,0.283,,,0.464,,,0.813,,,,,,,,,
Chris Webber,PF,26,SAC,75,75,2880,,,0.483,,,0.284,,,0.496,,,0.751,,,,,,,,,
Tim Duncan,PF,23,SAS,74,74,2875,,,0.49,,,0.091,,,0.494,,,0.761,,,,,,,,,
Eric Snow,PG,26,PHI,82,80,2866,,,0.43,,,0.244,,,0.446,,,0.712,,,,,,,,,
Allen Iverson,SG,24,PHI,70,70,2853,,,0.421,,,0.341,,,0.435,,,0.713,,,,,,,,,
Vin Baker,C,28,SEA,79,75,2849,,,0.455,,,0.25,,,0.457,,,0.682,,,,,,,,,
Rasheed Wallace,PF,25,POR,81,77,2845,,,0.519,,,0.16,,,0.537,,,0.704,,,,,,,,,
Clifford Robinson,SF,33,PHO,80,67,2839,,,0.464,,,0.37,,,0.501,,,0.782,,,,,,,,,
Jamal Mashburn,SF,27,MIA,76,76,2828,,,0.445,,,0.403,,,0.458,,,0.778,,,,,,,,,
Eddie Jones,SG,28,CHH,72,72,2807,,,0.427,,,0.375,,,0.45,,,0.864,,,,,,,,,
Keith Van Horn,PF,24,NJN,80,80,2782,,,0.445,,,0.368,,,0.462,,,0.847,,,,,,,,,
Steve Francis,PG,22,HOU,77,77,2776,,,0.445,,,0.345,,,0.483,,,0.786,,,,,,,,,
Grant Hill,SF,27,DET,74,74,2776,,,0.489,,,0.347,,,0.5,,,0.795,,,,,,,,,
Alan Henderson,PF,27,ATL,82,82,2775,,,0.461,,,0.1,,,0.465,,,0.671,,,,,,,,,
Jim Jackson,SF,29,ATL,79,76,2767,,,0.411,,,0.386,,,0.418,,,0.877,,,,,,,,,
Lamar Odom,SF,20,LAC,76,70,2767,,,0.438,,,0.36,,,0.453,,,0.719,,,,,,,,,
David Wesley,PG,29,CHH,82,82,2760,,,0.426,,,0.355,,,0.451,,,0.778,,,,,,,,,
Jason Williams,PG,24,SAC,81,81,2760,,,0.373,,,0.287,,,0.466,,,0.753,,,,,,,,,
Scottie Pippen,SF,34,POR,82,82,2749,,,0.451,,,0.327,,,0.506,,,0.717,,,,,,,,,
Alonzo Mourning,C,29,MIA,79,78,2748,,,0.551,,,0.0,,,0.553,,,0.711,,,,,,,,,
Brent Barry,SG,28,SEA,80,74,2726,,,0.463,,,0.411,,,0.529,,,0.809,,,,,,,,,
Shandon Anderson,SF,26,HOU,82,82,2700,,,0.473,,,0.351,,,0.523,,,0.767,,,,,,,,,
Antonio McDyess,PF,25,DEN,81,81,2698,,,0.507,,,0.0,,,0.508,,,0.626,,,,,,,,,
Steve Smith,SG,30,POR,82,81,2689,,,0.467,,,0.398,,,0.492,,,0.85,,,,,,,,,
Horace Grant,PF,34,SEA,76,76,2688,,,0.444,,,0.0,,,0.447,,,0.721,,,,,,,,,
Othella Harrington,PF,26,VAN,82,82,2677,,,0.506,,,0.0,,,0.507,,,0.792,,,,,,,,,
Jason Kidd,PG,26,PHO,67,67,2616,,,0.409,,,0.337,,,0.427,,,0.829,,,,,,,,,
Kenny Anderson,PG,29,BOS,82,82,2593,,,0.44,,,0.386,,,0.456,,,0.775,,,,,,,,,
