name_display,pos,age,team_name_abbr,games,mp,fg_pct_from_0_3_ft,fg_pct_from_3_10_ft,fg_pct_from_10_16_ft,fg_pct_from_16_3p,fg_pct_from_3p,pct_fga_from_0_3_ft,pct_fga_from_3_10_ft,pct_fga_from_10_16_ft,pct_fga_from_16_3p,pct_fga_from_3p,fg_pct_from_2p,fg_pct_from_0_3_ft_2,fg_pct_from_corner_3,pct_fga_from_corner_3,num_shots_heaved,pct_shots_heaved
Michael Finley,SF,26,DAL,82,3464,,,,,,,,,,,,,,,,
Gary Payton,PG,31,SEA,82,3425,,,,,,,,,,,,,,,,
Latrell Sprewell,SF,29,NYK,82,3276,,,,,,,,,,,,,,,,
Kevin Garnett,PF,23,MIN,81,3243,,,,,,,,,,,,,,,,
Shareef Abdur-Rahim,SF,23,VAN,82,3223,,,,,,,,,,,,,,,,
Allan Houston,SG,28,NYK,82,3169,,,,,,,,,,,,,,,,
Shaquille O'Neal,C,27,LAL,79,3163,,,,,,,,,,,,,,,,
Mike Bibby,PG,21,VAN,82,3155,,,,,,,,,,,,,,,,
Jerry Stackhouse,SG,25,DET,82,3148,,,,,,,,,,,,,,,,
Anthony Mason,SF,33,CHH,82,3133,,,,,,,,,,,,,,,,
Vince Carter,SF,23,TOR,82,3126,,,,,,,,,,,,,,,,
Michael Dickerson,SG,24,VAN,82,3103,,,,,,,,,,,,,,,,
Ray Allen,SG,24,MIL,82,3070,,,,,,,,,,,,,,,,
Antoine Walker,PF,23,BOS,82,3003,,,,,,,,,,,,,,,,
Elton Brand,PF,20,CHI,81,2999,,,,,,,,,,,,,,,,
Reggie Miller,SG,34,IND,81,2987,,,,,,,,,,,,,,,,
Dikembe Mutombo,C,33,ATL,82,2984,,,,,,,,,,,,,,,,
Jalen Rose,SF,27,IND,80,2978,,,,,,,,,,,,,,,,
Nick Van Exel,PG,28,DEN,79,2950,,,,,,,,,,,,,,,,
Karl Malone,PF,36,UTA,82,2947,,,,,,,,,,,,,,,,
Dirk Nowitzki,PF,21,DAL,82,2938,,,,,,,,,,,,,,,,
Lindsey Hunter,PG,29,DET,82,2919,,,,,,,,,,,,,,,,
Juwan Howard,PF,26,WAS,82,2909,,,,,,,,,,,,,,,,
Glenn Robinson,SF,27,MIL,81,2909,,,,,,,,,,,,,,,,
Bryon Russell,SF,29,UTA,82,2900,,,,,,,,,,,,,,,,
Sam Cassell,PG,30,MIL,81,2899,,,,,,,,,,,,,,,,
Stephon Marbury,PG,22,NJN,74,2881,,,,,,,,,,,,,,,,
Chris Webber,PF,26,SAC,75,2880,,,,,,,,,,,,,,,,
Tim Duncan,PF,23,SAS,74,2875,,,,,,,,,,,,,,,,
Eric Snow,PG,26,PHI,82,2866,,,,,,,,,,,,,,,,
Allen Iverson,SG,24,PHI,70,2853,,,,,,,,,,,,,,,,
Vin Baker,C,28,SEA,79,2849,,,,,,,,,,,,,,,,
Rasheed Wallace,PF,25,POR,81,2845,,,,,,,,,,,,,,,,
Clifford Robinson,SF,33,PHO,80,2839,,,,,,,,,,,,,,,,
Jamal Mashburn,SF,27,MIA,76,2828,,,,,,,,,,,,,,,,
Eddie Jones,SG,28,CHH,72,2807,,,,,,,,,,,,,,,,
Keith Van Horn,PF,24,NJN,80,2782,,,,,,,,,,,,,,,,
Steve Francis,PG,22,HOU,77,2776,,,,,,,,,,,,,,,,
Grant Hill,SF,27,DET,74,2776,,,,,,,,,,,,,,,,
Alan Henderson,PF,27,ATL,82,2775,,,,,,,,,,,,,,,,
Jim Jackson,SF,29,ATL,79,2767,,,,,,,,,,,,,,,,
Lamar Odom,SF,20,LAC,76,2767,,,,,,,,,,,,,,,,
David Wesley,PG,29,CHH,82,2760,,,,,,,,,,,,,,,,
Jason Williams,PG,24,SAC,81,2760,,,,,,,,,,,,,,,,
Scottie Pippen,SF,34,POR,82,2749,,,,,,,,,,,,,,,,
Alonzo Mourning,C,29,MIA,79,2748,,,,,,,,,,,,,,,,
Brent Barry,SG,28,SEA,80,2726,,,,,,,,,,,,,,,,
Shandon Anderson,SF,26,HOU,82,2700,,,,,,,,,,,,,,,,
Antonio McDyess,PF,25,DEN,81,2698,,,,,,,,,,,,,,,,
Steve Smith,SG,30,POR,82,2689,,,,,,,,,,,,,,,,
Horace Grant,PF,34,SEA,76,2688,,,,,,,,,,,,,,,,
Othella Harrington,PF,26,VAN,82,2677,,,,,,,,,,,,,,,,
Jason Kidd,PG,26,PHO,67,2616,,,,,,,,,,,,,,,,
Kenny Anderson,PG,29,BOS,82,2593,,,,,,,,,,,,,,,,
Darrell Armstrong,PG,31,ORL,82,2590,,,,,,,,,,,,,,,,
Terrell Brandon,PG,29,MIN,71,2587,,,,,,,,,,,,,,,,
Paul Pierce,SF,22,BOS,73,2583,,,,,,,,,,,,,,,,
Avery Johnson,PG,34,SAS,82,2571,,,,,,,,,,,,,,,,
David Robinson,C,34,SAS,80,2557,,,,,,,,,,,,,,,,
Elden Campbell,C,31,CHH,78,2538,,,,,,,,,,,,,,,,
Glen Rice,SF,32,LAL,80,2530,,,,,,,,,,,,,,,,
Kobe Bryant,SG,21,LAL,66,2524,,,,,,,,,,,,,,,,
Cuttino Mobley,SG,24,HOU,81,2496,,,,,,,,,,,,,,,,
Michael Olowokandi,C,24,LAC,80,2493,,,,,,,,,,,,,,,,
Shawn Kemp,C,30,CLE,82,2492,,,,,,,,,,,,,,,,
Antonio Davis,C,31,TOR,79,2479,,,,,,,,,,,,,,,,
Tracy McGrady,SF,20,TOR,79,2462,,,,,,,,,,,,,,,,
Mookie Blaylock,PG,32,GSW,73,2459,,,,,,,,,,,,,,,,
Christian Laettner,C,30,DET,82,2443,,,,,,,,,,,,,,,,
Raef LaFrentz,C,23,DEN,81,2435,,,,,,,,,,,,,,,,
John Stockton,PG,37,UTA,82,2432,,,,,,,,,,,,,,,,
Charles Oakley,PF,36,TOR,80,2431,,,,,,,,,,,,,,,,
George Lynch,SF,29,PHI,75,2416,,,,,,,,,,,,,,,,
Mitch Richmond,SG,34,WAS,74,2397,,,,,,,,,,,,,,,,
Malik Sealy,SF,29,MIN,82,2392,,,,,,,,,,,,,,,,
Ron Mercer,SG,23,2TM,68,2377,,,,,,,,,,,,,,,,
Ron Mercer,SG,23,DEN,37,1408,,,,,,,,,,,,,,,,
Ron Mercer,SG,23,ORL,31,969,,,,,,,,,,,,,,,,
Vlade Divac,C,31,SAC,82,2374,,,,,,,,,,,,,,,,
Damon Stoudamire,PG,26,POR,78,2372,,,,,,,,,,,,,,,,
Lamond Murray,SF,26,CLE,74,2365,,,,,,,,,,,,,,,,
Kendall Gill,SF,31,NJN,76,2355,,,,,,,,,,,,,,,,
Derrick Coleman,PF,32,CHH,74,2347,,,,,,,,,,,,,,,,
Bo Outlaw,PF,28,ORL,82,2326,,,,,,,,,,,,,,,,
Larry Hughes,SG,21,2TM,82,2324,,,,,,,,,,,,,,,,
Larry Hughes,SG,21,PHI,50,1018,,,,,,,,,,,,,,,,
Larry Hughes,SG,21,GSW,32,1306,,,,,,,,,,,,,,,,
Tyrone Nesby,SG,24,LAC,73,2317,,,,,,,,,,,,,,,,
Dan Majerle,SG,34,MIA,69,2308,,,,,,,,,,,,,,,,
P.J. Brown,PF,30,MIA,80,2302,,,,,,,,,,,,,,,,
Rodney Rogers,PF,28,PHO,82,2286,,,,,,,,,,,,,,,,
Larry Johnson,PF,30,NYK,70,2281,,,,,,,,,,,,,,,,
Doug Christie,SG,29,TOR,73,2264,,,,,,,,,,,,,,,,
Anfernee Hardaway,SG,28,PHO,60,2253,,,,,,,,,,,,,,,,
Jamie Feick,C,25,NJN,81,2241,,,,,,,,,,,,,,,,
Metta World Peace,SF,20,CHI,72,2238,,,,,,,,,,,,,,,,
Maurice Taylor,PF,23,LAC,62,2227,,,,,,,,,,,,,,,,
Mario Elie,SF,36,SAS,79,2217,,,,,,,,,,,,,,,,
Bob Sura,SG,26,CLE,73,2216,,,,,,,,,,,,,,,,
Derek Anderson,SG,25,LAC,64,2201,,,,,,,,,,,,,,,,
Mark Jackson,PG,34,IND,81,2190,,,,,,,,,,,,,,,,
Rod Strickland,PG,33,WAS,69,2188,,,,,,,,,,,,,,,,
Wally Szczerbiak,SF,22,MIN,73,2171,,,,,,,,,,,,,,,,
Jason Caffey,PF,26,GSW,71,2159,,,,,,,,,,,,,,,,
Tyrone Hill,PF,31,PHI,68,2155,,,,,,,,,,,,,,,,
Jeff Hornacek,SG,36,UTA,77,2133,,,,,,,,,,,,,,,,
Ervin Johnson,C,32,MIL,80,2129,,,,,,,,,,,,,,,,
Dale Davis,C,30,IND,74,2127,,,,,,,,,,,,,,,,
George McCloud,SF,32,DEN,78,2118,,,,,,,,,,,,,,,,
Jerome Williams,PF,26,DET,82,2102,,,,,,,,,,,,,,,,
Ruben Patterson,SF,24,SEA,81,2097,,,,,,,,,,,,,,,,
Howard Eisley,PG,27,UTA,82,2096,,,,,,,,,,,,,,,,
Nick Anderson,SG,32,SAC,72,2094,,,,,,,,,,,,,,,,
Andre Miller,PG,23,CLE,82,2093,,,,,,,,,,,,,,,,
Tim Thomas,SF,22,MIL,80,2093,,,,,,,,,,,,,,,,
Isaiah Rider,SG,28,ATL,60,2084,,,,,,,,,,,,,,,,
Anthony Peeler,SG,30,MIN,82,2073,,,,,,,,,,,,,,,,
Donyell Marshall,PF,26,GSW,64,2071,,,,,,,,,,,,,,,,
Cedric Ceballos,SF,30,DAL,69,2064,,,,,,,,,,,,,,,,
Wesley Person,SG,28,CLE,79,2056,,,,,,,,,,,,,,,,
