season,age,team_name_abbr,league_id,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
2004-05,20,,,SF,,,,,,0.462,,,0.25,,,0.0,,,,,,,,,
2005-06,21,,,SF,,,,,,0.571,,,0.4,,,0.2,,,,,,,,,
2006-07,22,,,SF,,,,,,0.55,,,0.5,,,1.0,,,,,,,,,
2007-08,23,,,SF,,,,,,0.545,,,0.286,,,1.0,,,,,,,,,
2008-09,24,,,SF,,,,,,0.421,,,0.4,,,1.0,,,,,,,,,
2009-10,25,,,SF,,,,,,0.455,,,0.167,,,1.0,,,,,,,,,
2010-11,26,,,SF,,,,,,0.556,,,0.0,,,0.9,,,,,,,,,
2011-12,27,,,SF,,,,,,0.652,,,0.75,,,0.0,,,,,,,,,
2012-13,28,,,PF,,,,,,0.389,,,0.429,,,0.5,,,,,,,,,
2013-14,29,,,PF,,,,,,0.5,,,0.0,,,0.0,,,,,,,,,
2014-15,30,,,SF,,,,,,0.524,,,0.333,,,0.8,,,,,,,,,
2015-16,31,,,SF,,,,,,0.462,,,0.2,,,0.0,,,,,,,,,
2016-17,32,,,SF,,,,,,0.588,,,0.375,,,0.0,,,,,,,,,
2017-18,33,,,PF,,,,,,0.706,,,0.5,,,1.0,,,,,,,,,
2018-19,34,,,SF,,,,,,0.529,,,0.125,,,0.0,,,,,,,,,
2019-20,35,,,PG,,,,,,0.45,,,0.2,,,0.75,,,,,,,,,
2020-21,36,,,PG,,,,,,0.286,,,0.0,,,0.0,,,,,,,,,
2021-22,37,,,C,,,,,,0.458,,,0.182,,,0.0,,,,,,,,,
2022-23,38,,,PF,,,,,,0.545,,,0.2,,,0.0,,,,,,,,,
2023-24,39,,,PF,,,,,,0.4,,,0.0,,,0.0,,,,,,,,,
2025-26,41,,,SF,,,,,,0.5,,,0.333,,,0.0,,,,,,,,,
2025-26,41,,,SF,,,,,,0.5,,,0.667,,,1.0,,,,,,,,,
2025-26,41,,,SF,,,,,,0.333,,,0.0,,,0.0,,,,,,,,,
