season,age,team_id,league_id,pos,g,mp,pct_fg_2pt,pct_fg_3pt,pct_ast_2pt,pct_ast_3pt,pct_dunks,pct_corner_3s,pct_heaves
,19,,,SG,,3122,,,,,,,
,20,,,SF,,3388,,,,,,,
,21,,,SF,,3361,,,,,,,
,22,,,SF,,3190,,,,,,,
,23,,,SF,,3027,,,,,,,
,24,,,SF,,3054,,,,,,,
,25,,,SF,,2966,,,,,,,
,26,,,SF,,3063,,,,,,,
,27,,,SF,,2326,,,,,,,
,28,,,PF,,2877,,,,,,,
,29,,,PF,,2902,,,,,,,
,30,,,SF,,2493,,,,,,,
,31,,,SF,,2709,,,,,,,
,32,,,SF,,2794,,,,,,,
,33,,,PF,,3026,,,,,,,
,34,,,SF,,1937,,,,,,,
,35,,,PG,,2316,,,,,,,
,36,,,PG,,1504,,,,,,,
,37,,,C,,2084,,,,,,,
,38,,,PF,,1954,,,,,,,
,39,,,PF,,2504,,,,,,,
,40,,,SF,,2444,,,,,,,
,41,,,SF,,1989,,,,,,,
