season,team_id,salary
2003-04,,"$4,018,920"
2004-05,,"$4,320,360"
2005-06,,"$4,621,800"
2006-07,,"$5,828,090"
2007-08,,"$13,041,250"
2008-09,,"$14,410,581"
2009-10,,"$15,779,912"
2010-11,,"$14,500,000"
2011-12,,"$16,022,500"
2012-13,,"$17,545,000"
2013-14,,"$19,067,500"
2014-15,,"$20,644,400"
2015-16,,"$22,971,000"
2016-17,,"$30,963,450"
2017-18,,"$33,285,709"
2018-19,,"$35,654,150"
2019-20,,"$37,436,858"
2020-21,,"$39,219,566"
2021-22,,"$41,180,544"
2022-23,,"$44,474,988"
2023-24,,"$47,607,350"
2024-25,,"$48,728,845"
