name_display,pos,age,team_name_abbr,games,games_started,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Shaquille O'Neal,C,27,LAL,23,23,1000,286,505,0.566,0,0,0.0,286,505,0.566,0.566,135,296,0.456,119,236,355,71,13,55,56,67,707
Reggie Miller,SG,34,IND,22,22,892,174,385,0.452,58,147,0.395,116,238,0.487,0.527,121,129,0.938,9,44,53,60,23,10,28,37,527
Jalen Rose,SF,27,IND,23,23,964,171,391,0.437,30,70,0.429,141,321,0.439,0.476,107,133,0.805,10,91,101,78,16,11,50,71,479
Kobe Bryant,SG,21,LAL,22,22,857,174,394,0.442,22,64,0.344,152,330,0.461,0.47,95,126,0.754,26,72,98,97,32,32,55,89,465
Latrell Sprewell,SF,29,NYK,16,16,700,110,266,0.414,10,30,0.333,100,236,0.424,0.432,69,88,0.784,12,58,70,58,18,5,37,28,299
Rasheed Wallace,PF,25,POR,16,16,605,110,225,0.489,8,13,0.615,102,212,0.481,0.507,58,75,0.773,31,72,103,28,15,20,23,52,286
Glen Rice,SF,32,LAL,23,23,766,93,228,0.408,28,67,0.418,65,161,0.404,0.469,71,89,0.798,10,82,92,48,15,4,36,50,285
Allan Houston,SG,28,NYK,16,16,654,103,235,0.438,19,38,0.5,84,197,0.426,0.479,56,65,0.862,3,49,52,26,19,3,36,42,281
Steve Smith,SG,30,POR,16,16,604,88,181,0.486,29,53,0.547,59,128,0.461,0.566,69,78,0.885,13,27,40,44,19,4,27,44,274
Karl Malone,PF,36,UTA,10,10,386,103,198,0.52,2,2,1.0,101,196,0.515,0.525,64,79,0.81,19,70,89,31,7,7,27,31,272
Allen Iverson,SG,24,PHI,10,10,444,91,237,0.384,12,39,0.308,79,198,0.399,0.409,68,92,0.739,14,26,40,45,12,1,32,24,262
Rik Smits,C,33,IND,22,21,461,103,207,0.498,0,1,0.0,103,206,0.5,0.498,35,40,0.875,24,54,78,21,10,20,27,84,241
Scottie Pippen,SF,34,POR,16,16,614,83,198,0.419,21,70,0.3,62,128,0.484,0.472,52,70,0.743,22,92,114,69,32,7,37,49,239
Austin Croshere,PF,24,IND,23,2,490,64,153,0.418,15,37,0.405,49,116,0.422,0.467,73,87,0.839,31,78,109,19,9,16,25,51,216
Alonzo Mourning,C,29,MIA,10,10,376,76,157,0.484,0,1,0.0,76,156,0.487,0.484,64,96,0.667,31,69,100,14,2,33,24,40,216
Travis Best,PG,27,IND,23,0,463,77,179,0.43,13,30,0.433,64,149,0.43,0.466,37,44,0.841,15,42,57,66,19,4,25,61,204
Patrick Ewing,C,37,NYK,14,14,461,71,170,0.418,0,0,0.0,71,170,0.418,0.418,62,89,0.697,29,104,133,6,16,20,27,48,204
Ron Harper,PG,36,LAL,23,23,643,78,181,0.431,9,39,0.231,69,142,0.486,0.456,33,47,0.702,30,55,85,73,23,13,28,63,198
Dale Davis,C,30,IND,23,23,714,79,151,0.523,0,0,0.0,79,151,0.523,0.523,32,59,0.542,83,180,263,17,11,31,18,83,190
Mark Jackson,PG,34,IND,23,23,634,69,176,0.392,21,67,0.313,48,109,0.44,0.452,28,31,0.903,12,74,86,178,19,2,43,42,187
Anfernee Hardaway,SG,28,PHO,9,9,386,67,145,0.462,5,19,0.263,62,126,0.492,0.479,44,62,0.71,14,30,44,51,14,9,25,29,183
Arvydas Sabonis,C,35,POR,16,16,493,68,150,0.453,6,21,0.286,62,129,0.481,0.473,39,49,0.796,19,88,107,31,14,13,26,59,181
Larry Johnson,PF,30,NYK,16,16,589,70,152,0.461,13,33,0.394,57,119,0.479,0.503,27,34,0.794,15,65,80,26,8,2,23,47,180
Robert Horry,PF,29,LAL,23,0,618,59,145,0.407,17,59,0.288,42,86,0.488,0.466,40,57,0.702,38,85,123,58,20,19,30,88,175
Jamal Mashburn,SF,27,MIA,10,10,423,63,157,0.401,13,33,0.394,50,124,0.403,0.443,36,42,0.857,9,37,46,32,11,2,24,30,175
Clifford Robinson,SF,33,PHO,9,9,333,56,145,0.386,13,40,0.325,43,105,0.41,0.431,33,45,0.733,18,36,54,19,11,7,18,35,158
Charlie Ward,PG,29,NYK,16,16,439,57,113,0.504,21,53,0.396,36,60,0.6,0.597,15,21,0.714,11,57,68,65,22,5,20,40,150
Damon Stoudamire,PG,26,POR,16,16,447,56,135,0.415,10,30,0.333,46,105,0.438,0.452,20,24,0.833,8,34,42,58,8,4,19,43,142
Bryon Russell,SF,29,UTA,10,10,371,48,114,0.421,13,45,0.289,35,69,0.507,0.478,31,41,0.756,9,43,52,21,16,5,15,27,140
Aaron McKie,SG,27,PHI,10,6,331,50,103,0.485,12,35,0.343,38,68,0.559,0.544,26,31,0.839,4,32,36,46,4,2,16,26,138
Theo Ratliff,PF,26,PHI,10,10,374,48,101,0.475,0,0,0.0,48,101,0.475,0.475,34,47,0.723,28,51,79,9,10,30,17,35,130
Gary Payton,PG,31,SEA,5,5,221,50,113,0.442,9,23,0.391,41,90,0.456,0.482,20,26,0.769,8,30,38,37,9,1,18,16,129
Rodney Rogers,PF,28,PHO,9,0,263,48,115,0.417,8,36,0.222,40,79,0.506,0.452,23,31,0.742,16,45,61,14,10,10,15,31,127
Tyrone Hill,PF,31,PHI,10,10,352,46,100,0.46,0,1,0.0,46,99,0.465,0.46,31,44,0.705,36,61,97,9,9,1,12,38,123
Chris Webber,PF,26,SAC,5,5,196,47,110,0.427,1,5,0.2,46,105,0.438,0.432,27,34,0.794,14,34,48,27,8,10,8,14,122
Brian Shaw,SG,33,LAL,22,1,408,45,107,0.421,16,48,0.333,29,59,0.492,0.495,13,16,0.813,7,44,51,67,11,4,17,46,119
Jeff Hornacek,SG,36,UTA,10,10,297,43,102,0.422,9,22,0.409,34,80,0.425,0.466,20,24,0.833,9,21,30,33,10,0,15,28,115
John Stockton,PG,37,UTA,10,10,350,41,89,0.461,7,18,0.389,34,71,0.479,0.5,23,30,0.767,7,23,30,103,13,2,26,30,112
Ray Allen,SG,24,MIL,5,5,186,40,90,0.444,10,26,0.385,30,64,0.469,0.5,20,22,0.909,10,23,33,13,8,0,9,10,110
Sam Perkins,PF,38,IND,23,0,417,34,105,0.324,23,66,0.348,11,39,0.282,0.433,19,21,0.905,17,56,73,10,4,6,8,45,110
Bonzi Wells,SF,23,POR,14,0,188,37,83,0.446,2,10,0.2,35,73,0.479,0.458,29,41,0.707,12,23,35,13,7,0,16,33,105
Rick Fox,SF,30,LAL,23,0,331,33,73,0.452,18,39,0.462,15,34,0.441,0.575,16,21,0.762,11,27,38,28,9,0,16,68,100
Derek Fisher,PG,25,LAL,21,0,322,34,79,0.43,12,29,0.414,22,50,0.44,0.506,19,25,0.76,4,18,22,41,11,1,9,30,99
David Robinson,C,34,SAS,4,4,155,31,83,0.373,0,1,0.0,31,82,0.378,0.373,32,42,0.762,17,38,55,10,7,12,8,15,94
Toni Kukoč,SF,31,PHI,10,0,257,36,93,0.387,11,34,0.324,25,59,0.424,0.446,10,17,0.588,7,30,37,17,10,3,15,26,93
A.C. Green,PF,36,LAL,23,23,429,37,90,0.411,0,0,0.0,37,90,0.411,0.411,16,23,0.696,43,53,96,13,14,3,9,44,90
Dan Majerle,SG,34,MIA,10,10,372,30,71,0.423,20,50,0.4,10,21,0.476,0.563,10,14,0.714,5,65,70,32,21,1,11,34,90
Chris Childs,PG,32,NYK,16,0,334,27,70,0.386,9,28,0.321,18,42,0.429,0.45,24,28,0.857,1,36,37,39,7,0,14,53,87
Brian Grant,PF,27,POR,16,0,320,29,65,0.446,0,0,0.0,29,65,0.446,0.446,29,39,0.744,37,55,92,8,6,6,17,53,87
Detlef Schrempf,SF,37,POR,15,0,276,22,56,0.393,1,6,0.167,21,50,0.42,0.402,39,47,0.83,10,43,53,30,4,0,15,29,84
Shawn Marion,SF,21,PHO,9,9,281,36,86,0.419,1,6,0.167,35,80,0.438,0.424,9,11,0.818,21,58,79,7,6,14,7,17,82
Derrick Coleman,PF,32,CHH,4,4,169,27,57,0.474,5,16,0.313,22,41,0.537,0.518,22,28,0.786,10,40,50,14,3,12,13,11,81
Sam Cassell,PG,30,MIL,5,5,178,30,72,0.417,1,5,0.2,29,67,0.433,0.424,18,21,0.857,0,17,17,45,4,0,9,19,79
Terrell Brandon,PG,29,MIN,4,4,162,32,63,0.508,4,11,0.364,28,52,0.538,0.54,10,11,0.909,4,19,23,34,3,0,8,11,78
Marcus Camby,C,25,NYK,16,0,386,29,86,0.337,0,1,0.0,29,85,0.341,0.337,19,31,0.613,35,77,112,6,8,23,12,51,77
Anthony Carter,PG,24,MIA,10,3,275,32,77,0.416,1,6,0.167,31,71,0.437,0.422,12,16,0.75,8,32,40,56,12,2,23,22,77
Rashard Lewis,SF,20,SEA,5,5,157,26,59,0.441,9,19,0.474,17,40,0.425,0.517,16,20,0.8,12,19,31,3,5,3,10,11,77
Glenn Robinson,SF,27,MIL,5,5,174,32,79,0.405,2,7,0.286,30,72,0.417,0.418,11,13,0.846,0,21,21,13,8,4,15,18,77
Tim Thomas,SF,22,MIL,5,0,142,29,59,0.492,5,15,0.333,24,44,0.545,0.534,14,17,0.824,6,18,24,10,1,4,1,14,77
P.J. Brown,PF,30,MIA,10,10,308,35,82,0.427,0,0,0.0,35,82,0.427,0.427,5,6,0.833,26,56,82,11,8,4,11,42,75
Kevin Garnett,PF,23,MIN,4,4,171,30,78,0.385,2,3,0.667,28,75,0.373,0.397,13,16,0.813,13,30,43,35,5,3,11,12,75
Jerry Stackhouse,SG,25,DET,3,3,120,24,59,0.407,3,7,0.429,21,52,0.404,0.432,23,31,0.742,1,11,12,10,2,0,14,4,74
Vin Baker,C,28,SEA,5,4,177,30,75,0.4,0,1,0.0,30,74,0.405,0.4,10,17,0.588,16,22,38,10,5,2,16,19,70
Matt Geiger,C,30,PHI,8,0,128,25,50,0.5,0,0,0.0,25,50,0.5,0.5,20,25,0.8,17,23,40,2,5,2,5,23,70
Kurt Thomas,PF,27,NYK,16,0,251,31,61,0.508,0,0,0.0,31,61,0.508,0.508,7,10,0.7,18,32,50,5,3,6,14,44,69
Eddie Jones,SG,28,CHH,4,4,171,22,58,0.379,9,26,0.346,13,32,0.406,0.457,15,16,0.938,4,16,20,19,10,3,5,12,68
Clarence Weatherspoon,PF,29,MIA,10,0,170,25,60,0.417,0,0,0.0,25,60,0.417,0.417,14,24,0.583,18,23,41,1,4,3,8,23,64
Greg Anthony,PG,32,POR,15,0,213,19,52,0.365,10,31,0.323,9,21,0.429,0.462,12,16,0.75,2,14,16,25,13,4,12,27,60
Jason Kidd,PG,26,PHO,6,6,229,22,55,0.4,8,22,0.364,14,33,0.424,0.473,7,9,0.778,8,32,40,53,11,1,23,14,59
George Lynch,SF,29,PHI,10,10,293,22,65,0.338,1,7,0.143,21,58,0.362,0.346,14,18,0.778,26,45,71,14,9,5,8,33,59
Olden Polynice,C,35,UTA,10,10,260,28,52,0.538,0,0,0.0,28,52,0.538,0.538,3,6,0.5,24,42,66,5,3,8,13,36,59
Vince Carter,SF,23,TOR,3,3,119,15,50,0.3,1,10,0.1,14,40,0.35,0.31,27,31,0.871,9,9,18,19,3,4,8,12,58
Elden Campbell,C,31,CHH,4,4,150,22,47,0.468,0,1,0.0,22,46,0.478,0.468,13,14,0.929,9,24,33,4,2,4,8,16,57
Tony Delk,PG,26,SAC,5,0,101,18,41,0.439,3,5,0.6,15,36,0.417,0.476,17,23,0.739,11,7,18,7,3,0,8,11,56
Vlade Divac,C,31,SAC,5,5,160,20,56,0.357,0,2,0.0,20,54,0.37,0.357,16,23,0.696,9,27,36,14,7,4,9,22,56
Tim Hardaway,PG,33,MIA,7,7,182,20,68,0.294,7,34,0.206,13,34,0.382,0.346,7,10,0.7,1,14,15,33,5,0,11,10,54
Jason Williams,PG,24,SAC,5,5,145,18,48,0.375,8,25,0.32,10,23,0.435,0.458,8,10,0.8,1,7,8,12,3,0,8,8,52
Howard Eisley,PG,27,UTA,10,0,200,17,55,0.309,9,19,0.474,8,36,0.222,0.391,8,9,0.889,1,17,18,19,6,1,13,24,51
Scott Williams,C,31,MIL,5,0,93,23,36,0.639,0,0,0.0,23,36,0.639,0.639,5,6,0.833,9,19,28,2,2,5,4,16,51
Shammond Williams,PG,24,SEA,5,2,99,18,33,0.545,7,11,0.636,11,22,0.5,0.652,8,11,0.727,2,9,11,18,8,0,6,3,51
Anthony Mason,SF,33,CHH,4,4,179,18,38,0.474,0,1,0.0,18,37,0.486,0.474,14,20,0.7,16,23,39,22,4,0,13,13,50
Tracy McGrady,SF,20,TOR,3,3,111,17,44,0.386,2,7,0.286,15,37,0.405,0.409,14,16,0.875,10,11,21,9,3,3,10,10,50
Malik Sealy,SF,29,MIN,4,4,122,19,41,0.463,1,3,0.333,18,38,0.474,0.476,11,16,0.688,5,13,18,5,2,0,8,10,50
Avery Johnson,PG,34,SAS,4,4,144,19,42,0.452,0,0,0.0,19,42,0.452,0.452,10,14,0.714,2,7,9,21,4,0,10,10,48
Derrick McKey,SF,33,IND,23,0,352,15,32,0.469,1,6,0.167,14,26,0.538,0.484,16,20,0.8,25,54,79,14,7,4,19,45,47
Corie Blount,PF,31,PHO,9,0,162,17,31,0.548,0,0,0.0,17,31,0.548,0.548,10,18,0.556,25,31,56,3,6,6,13,36,44
Peja Stojaković,SF,22,SAC,5,0,129,16,40,0.4,6,13,0.462,10,27,0.37,0.475,6,9,0.667,2,15,17,3,4,0,5,7,44
