rank,player,value,season,team_id
1.,Nikola Jokić,,2021-22,
2.,Nikola Jokić,,2025-26,
3.,Wilt Chamberlain,,1961-62,
4.,Giannis Antetokounmpo,,2021-22,
5.,Nikola Jokić,,2024-25,
6.,Giannis Antetokounmpo,,2019-20,
7.,Wilt Chamberlain,,1962-63,
8.,Michael Jordan,,1987-88,
9.,LeBron James,,2008-09,
10.,Wilt Chamberlain,,1963-64,
11.,Michael Jordan,,1990-91,
12.,LeBron James,,2012-13,
13.,Nikola Jokić,,2022-23,
14.,Stephen Curry,,2015-16,
15.,Joel Embiid,,2022-23,
16.,Nikola Jokić,,2020-21,
17.,Michael Jordan,,1989-90,
18.,Joel Embiid,,2021-22,
19.,Michael Jordan,,1988-89,
20.,LeBron James,,2009-10,
21.,Nikola Jokić,,2023-24,
22.,Giannis Antetokounmpo,,2018-19,
23.,Anthony Davis,,2014-15,
24.,Shai Gilgeous-Alexander,,2025-26,
25.,LeBron James,,2011-12,
26.,David Robinson,,1993-94,
27.,Shai Gilgeous-Alexander,,2024-25,
28.,Shaquille O'Neal,,1999-00,
29.,Russell Westbrook,,2016-17,
30.,James Harden,,2018-19,
31.,Shaquille O'Neal,,1998-99,
32.,Giannis Antetokounmpo,,2024-25,
33.,Dwyane Wade,,2008-09,
34.,Tracy McGrady,,2002-03,
35.,Anthony Davis,,2018-19,
36.,Joel Embiid,,2020-21,
37.,Shaquille O'Neal,,2000-01,
38.,Chris Paul,,2008-09,
39.,Kareem Abdul-Jabbar,,1971-72,
40.,Giannis Antetokounmpo,,2023-24,
41.,Victor Wembanyama,,2025-26,
42.,James Harden,,2017-18,
43.,Kevin Durant,,2013-14,
44.,Michael Jordan,,1986-87,
45.,Connie Hawkins,,1968-69,
46.,Michael Jordan,,1992-93,
47.,Shaquille O'Neal,,2001-02,
48.,Shaquille O'Neal,,2002-03,
49.,Kevin Garnett,,2003-04,
50.,David Robinson,,1995-96,
51.,Michael Jordan,,1995-96,
52.,Shai Gilgeous-Alexander,,2023-24,
53.,LeBron James,,2013-14,
54.,Kareem Abdul-Jabbar,,1977-78,
55.,Giannis Antetokounmpo,,2020-21,
56.,LeBron James,,2007-08,
57.,David Robinson,,1994-95,
58.,James Harden,,2019-20,
59.,Russell Westbrook,,2014-15,
60.,Giannis Antetokounmpo,,2022-23,
61.,George Mikan,,1953-54,
62.,Kareem Abdul-Jabbar,,1970-71,
63.,Charles Barkley,,1990-91,
64.,Dwyane Wade,,2006-07,
65.,Anthony Davis,,2017-18,
66.,Karl Malone,,1996-97,
67.,Shaquille O'Neal,,1997-98,
68.,Connie Hawkins,,1967-68,
69.,Luka Dončić,,2022-23,
70.,Julius Erving,,1975-76,
71.,Wilt Chamberlain,,1964-65,
72.,Shaquille O'Neal,,1994-95,
73.,LeBron James,,2017-18,
74.,Shaquille O'Neal,,1993-94,
75.,George Mikan,,1952-53,
76.,Kareem Abdul-Jabbar,,1972-73,
77.,Bob Pettit,,1956-57,
78.,Chris Paul,,2007-08,
79.,Kevin Durant,,2012-13,
80.,Wilt Chamberlain,,1965-66,
81.,Stephen Curry,,2017-18,
