team,wins,losses,division,conference
MIAMI HEAT,52,30,ATLANTIC,EASTERN
NEW YORK KNICKS,50,32,ATLANTIC,EASTERN
PHILADELPHIA 76ERS,49,33,ATLANTIC,EASTERN
ORLANDO MAGIC,41,41,ATLANTIC,EASTERN
BOSTON CELTICS,35,47,ATLANTIC,EASTERN
NEW JERSEY NETS,31,51,ATLANTIC,EASTERN
WASHINGTON WIZARDS,29,53,ATLANTIC,EASTERN
INDIANA PACERS,56,26,CENTRAL,EASTERN
CHARLOTTE HORNETS,49,33,CENTRAL,EASTERN
TORONTO RAPTORS,45,37,CENTRAL,EASTERN
DETROIT PISTONS,42,40,CENTRAL,EASTERN
MILWAUKEE BUCKS,42,40,CENTRAL,EASTERN
CLEVELAND CAVALIERS,32,50,CENTRAL,EASTERN
ATLANTA HAWKS,28,54,CENTRAL,EASTERN
CHICAGO BULLS,17,65,CENTRAL,EASTERN
UTAH JAZZ,55,27,MIDWEST,WESTERN
SAN ANTONIO SPURS,53,29,MIDWEST,WESTERN
MINNESOTA TIMBERWOLVES,50,32,MIDWEST,WESTERN
DALLAS MAVERICKS,40,42,MIDWEST,WESTERN
DENVER NUGGETS,35,47,MIDWEST,WESTERN
HOUSTON ROCKETS,34,48,MIDWEST,WESTERN
VANCOUVER GRIZZLIES,22,60,MIDWEST,WESTERN
LOS ANGELES LAKERS,67,15,PACIFIC,WESTERN
PORTLAND TRAIL BLAZERS,59,23,PACIFIC,WESTERN
PHOENIX SUNS,53,29,PACIFIC,WESTERN
SEATTLE SUPERSONICS,45,37,PACIFIC,WESTERN
SACRAMENTO KINGS,44,38,PACIFIC,WESTERN
GOLDEN STATE WARRIORS,19,63,PACIFIC,WESTERN
LOS ANGELES CLIPPERS,15,67,PACIFIC,WESTERN
