lineup,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
K. Anderson | A. Griffin | P. Pierce | V. Potapenko | A. Walker,,539:49,,,,,,,,,,,,,,,,,,
K. Anderson | C. Cheaney | P. Pierce | V. Potapenko | A. Walker,,287:42,,,,,,,,,,,,,,,,,,
K. Anderson | P. Pierce | V. Potapenko | A. Walker | E. Williams,,187:03,,,,,,,,,,,,,,,,,,
K. Anderson | T. Battie | A. Griffin | P. Pierce | A. Walker,,187:00,,,,,,,,,,,,,,,,,,
K. Anderson | T. Battie | P. Pierce | A. Walker | E. Williams,,94:17,,,,,,,,,,,,,,,,,,
K. Anderson | D. Fortson | A. Griffin | P. Pierce | A. Walker,,87:30,,,,,,,,,,,,,,,,,,
K. Anderson | A. Griffin | V. Potapenko | A. Walker | E. Williams,,76:53,,,,,,,,,,,,,,,,,,
K. Anderson | W. McCarty | P. Pierce | V. Potapenko | A. Walker,,70:06,,,,,,,,,,,,,,,,,,
K. Anderson | P. Ellison | A. Griffin | P. Pierce | A. Walker,,66:41,,,,,,,,,,,,,,,,,,
K. Anderson | T. Battie | C. Cheaney | P. Pierce | A. Walker,,65:45,,,,,,,,,,,,,,,,,,
K. Anderson | C. Cheaney | D. Fortson | P. Pierce | A. Walker,,64:48,,,,,,,,,,,,,,,,,,
K. Anderson | D. Fortson | P. Pierce | A. Walker | E. Williams,,63:30,,,,,,,,,,,,,,,,,,
K. Anderson | T. Battie | A. Griffin | A. Walker | E. Williams,,62:41,,,,,,,,,,,,,,,,,,
D. Barros | T. Battie | C. Cheaney | W. McCarty | E. Williams,,52:21,,,,,,,,,,,,,,,,,,
K. Anderson | C. Cheaney | A. Griffin | V. Potapenko | A. Walker,,43:46,,,,,,,,,,,,,,,,,,
D. Barros | A. Griffin | P. Pierce | V. Potapenko | A. Walker,,40:34,,,,,,,,,,,,,,,,,,
D. Barros | T. Battie | P. Pierce | A. Walker | E. Williams,,36:46,,,,,,,,,,,,,,,,,,
K. Anderson | T. Battie | C. Cheaney | A. Griffin | A. Walker,,33:57,,,,,,,,,,,,,,,,,,
K. Anderson | P. Ellison | A. Griffin | A. Walker | E. Williams,,31:04,,,,,,,,,,,,,,,,,,
D. Barros | C. Cheaney | P. Pierce | V. Potapenko | A. Walker,,27:56,,,,,,,,,,,,,,,,,,
