player,number,pos,height,weight,birth_date,flag,years_experience,college
Kenny Anderson,7,PG,6-1,168,"October 9, 1970",us US,8,Georgia Tech
Dana Barros,11,PG,5-11,163,"April 13, 1967",us US,10,Boston College
Tony Battie,4,C,6-11,230,"February 11, 1976",us US,2,Texas Tech
Calbert Cheaney,40,SG,6-7,209,"July 17, 1971",us US,6,Indiana
Pervis Ellison,29,C,6-9,210,"April 3, 1967",us US,9,Louisville
Danny Fortson,27,PF,6-7,260,"March 27, 1976",us US,2,Cincinnati
Adrian Griffin,44,SG,6-5,217,"July 4, 1974",us US,R,Seton Hall
Walter McCarty,0,PF,6-10,230,"February 1, 1974",us US,3,Kentucky
Doug Overton,20,PG,6-3,190,"August 3, 1969",us US,7,La Salle
Paul Pierce,34,SF,6-7,235,"October 13, 1977",us US,1,Kansas
Vitaly Potapenko,52,C,6-10,280,"March 21, 1975",ua UA,3,Wright State University
Jamel Thomas,5,SF,6-6,215,"March 25, 1973",us US,R,Providence
Wayne Turner,5,PG,6-2,190,"March 22, 1976",us US,R,Kentucky
Antoine Walker,8,PF,6-9,224,"August 12, 1976",us US,3,Kentucky
Eric Williams,55,SF,6-8,220,"July 17, 1972",us US,4,"Vincennes University , Providence"
