game_number,date,start_time,away_team,away_team_score,home_team,home_team_score,result,overtimes,wins,losses,streak
,,,,,,,,0,1,0,
,,,,,,,,0,2,0,
,,,,,,,,0,3,0,
,,,,,,,,0,3,1,
,,,,,,,,0,3,2,
,,,,,,,,0,4,2,
,,,,,,,,0,4,3,
,,,,,,,,0,5,3,
,,,,,,,,0,6,3,
,,,,,,,,0,6,4,
,,,,,,,,0,7,4,
,,,,,,,,0,7,5,
,,,,,,,,0,7,6,
,,,,,,,,0,7,7,
,,,,,,,,0,8,7,
,,,,,,,,0,8,8,
,,,,,,,,0,9,8,
,,,,,,,,0,10,8,
,,,,,,,,0,10,9,
,,,,,,,,0,10,10,
,,,,,,,,0,10,11,
,,,,,,,,0,10,12,
,,,,,,,,0,10,13,
,,,,,,,,0,10,14,
,,,,,,,,0,11,14,
,,,,,,,,0,11,15,
,,,,,,,,0,11,16,
,,,,,,,,0,12,16,
,,,,,,,,0,13,16,
,,,,,,,,0,13,17,
,,,,,,,,0,14,17,
,,,,,,,,0,14,18,
,,,,,,,,0,14,19,
,,,,,,,,0,15,19,
,,,,,,,,0,15,20,
,,,,,,,,0,16,20,
,,,,,,,,0,17,20,
,,,,,,,,0,18,20,
,,,,,,,,0,19,20,
,,,,,,,,0,19,21,
,,,,,,,,0,19,22,
,,,,,,,,0,19,23,
,,,,,,,,0,20,23,
,,,,,,,,0,20,24,
,,,,,,,,0,20,25,
,,,,,,,,0,21,25,
,,,,,,,,0,21,26,
,,,,,,,,0,21,27,
,,,,,,,,0,21,28,
,,,,,,,,0,22,28,
,,,,,,,,0,22,29,
,,,,,,,,0,22,30,
,,,,,,,,0,22,31,
,,,,,,,,0,23,31,
,,,,,,,,0,23,32,
,,,,,,,,0,23,33,
,,,,,,,,0,23,34,
,,,,,,,,0,23,35,
,,,,,,,,0,24,35,
,,,,,,,,0,25,35,
,,,,,,,,0,26,35,
,,,,,,,,0,27,35,
,,,,,,,,0,27,36,
,,,,,,,,0,28,36,
,,,,,,,,0,29,36,
,,,,,,,,0,30,36,
,,,,,,,,0,30,37,
,,,,,,,,0,30,38,
,,,,,,,,2OT,30,39,
,,,,,,,,0,30,40,
,,,,,,,,0,30,41,
,,,,,,,,0,30,42,
,,,,,,,,0,30,43,
,,,,,,,,0,30,44,
,,,,,,,,0,30,45,
,,,,,,,,0,30,46,
,,,,,,,,0,31,46,
,,,,,,,,0,32,46,
,,,,,,,,0,33,46,
,,,,,,,,0,33,47,
,,,,,,,,0,34,47,
,,,,,,,,0,35,47,
