split_type,value,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
,,82,,37.2,83.9,0.444,5.1,15.4,0.331,19.8,26.5,0.745,13.5,,43.0,21.2,9.7,3.5,15.4,27.1,99.3
,,41,,37.9,84.4,0.449,5.5,15.0,0.364,19.8,26.3,0.753,14.2,,45.0,23.2,10.5,4.0,15.0,25.8,101.0
,,41,,36.6,83.4,0.439,4.7,15.7,0.3,19.8,26.8,0.738,12.8,,41.0,19.3,8.9,3.0,15.7,28.5,97.7
,,49,,36.7,82.7,0.444,5.0,14.9,0.334,18.9,25.3,0.746,12.9,,42.2,21.1,9.4,3.6,14.9,26.4,97.3
,,33,,38.0,85.6,0.444,5.2,16.1,0.326,21.1,28.4,0.744,14.5,,44.3,21.5,10.2,3.3,16.0,28.2,102.4
,,35,,38.7,83.7,0.462,5.6,15.4,0.363,19.9,26.6,0.747,13.9,,46.1,23.1,11.2,4.1,15.3,26.0,102.9
,,47,,36.1,84.0,0.43,4.7,15.3,0.307,19.7,26.5,0.744,13.3,,40.7,19.8,8.6,3.0,15.4,27.9,96.7
,,14,,37.0,81.6,0.454,6.3,15.4,0.407,19.2,25.8,0.745,12.6,,42.1,20.9,9.6,4.1,16.1,25.8,99.5
,,14,,36.8,82.8,0.444,4.3,14.6,0.293,17.5,24.1,0.727,11.7,,41.3,21.3,10.0,3.7,14.3,28.3,95.4
,,15,,35.8,83.1,0.431,4.3,15.1,0.283,19.5,26.1,0.747,13.7,,43.4,20.8,9.3,3.2,15.0,25.2,95.3
,,13,,37.1,84.2,0.44,4.2,13.5,0.314,20.9,27.5,0.76,14.6,,42.6,20.4,8.8,3.2,16.1,27.5,99.3
,,16,,38.2,87.5,0.436,4.9,15.6,0.317,22.3,29.1,0.766,15.8,,46.3,21.4,9.9,3.6,15.4,28.1,103.6
,,10,,39.1,83.7,0.467,7.1,18.9,0.376,18.6,26.2,0.71,11.9,,41.5,23.1,10.8,2.9,15.2,28.1,103.9
,,7,,35.3,83.6,0.422,4.4,16.9,0.263,20.3,27.4,0.74,13.6,,43.9,19.6,9.1,3.3,15.6,25.1,95.3
,,10,,36.5,84.8,0.43,5.1,13.9,0.367,22.9,28.4,0.806,14.6,,43.9,21.6,9.8,3.4,15.7,28.5,101.0
,,11,,37.7,83.6,0.451,4.7,14.6,0.323,18.5,25.1,0.736,12.4,,38.7,19.9,8.6,3.1,15.6,28.4,98.6
,,19,,37.8,84.1,0.45,6.1,16.3,0.372,20.8,27.5,0.757,13.5,,43.1,23.3,9.5,3.5,14.1,26.3,102.4
