player,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
,1,,,,,,,,,,,,,,,,,,,103
,2,,,,,,,,,,,,,,,,,,,112
,3,,,,,,,,,,,,,,,,,,,103
,4,,,,,,,,,,,,,,,,,,,108
,5,,,,,,,,,,,,,,,,,,,92
,6,,,,,,,,,,,,,,,,,,,80
,7,,,,,,,,,,,,,,,,,,,91
,8,,,,,,,,,,,,,,,,,,,114
,9,,,,,,,,,,,,,,,,,,,109
,10,,,,,,,,,,,,,,,,,,,92
,11,,,,,,,,,,,,,,,,,,,95
,12,,,,,,,,,,,,,,,,,,,98
,13,,,,,,,,,,,,,,,,,,,112
,14,,,,,,,,,,,,,,,,,,,84
,15,,,,,,,,,,,,,,,,,,,96
,16,,,,,,,,,,,,,,,,,,,74
,17,,,,,,,,,,,,,,,,,,,115
,18,,,,,,,,,,,,,,,,,,,100
,19,,,,,,,,,,,,,,,,,,,97
,20,,,,,,,,,,,,,,,,,,,88
,21,,,,,,,,,,,,,,,,,,,86
,22,,,,,,,,,,,,,,,,,,,94
,23,,,,,,,,,,,,,,,,,,,94
,24,,,,,,,,,,,,,,,,,,,90
,25,,,,,,,,,,,,,,,,,,,98
,26,,,,,,,,,,,,,,,,,,,100
,27,,,,,,,,,,,,,,,,,,,101
,28,,,,,,,,,,,,,,,,,,,102
,29,,,,,,,,,,,,,,,,,,,105
,30,,,,,,,,,,,,,,,,,,,88
,31,,,,,,,,,,,,,,,,,,,101
,32,,,,,,,,,,,,,,,,,,,79
,33,,,,,,,,,,,,,,,,,,,103
,34,,,,,,,,,,,,,,,,,,,95
,35,,,,,,,,,,,,,,,,,,,85
,36,,,,,,,,,,,,,,,,,,,99
,37,,,,,,,,,,,,,,,,,,,105
,38,,,,,,,,,,,,,,,,,,,94
,39,,,,,,,,,,,,,,,,,,,111
,40,,,,,,,,,,,,,,,,,,,96
,41,,,,,,,,,,,,,,,,,,,89
,42,,,,,,,,,,,,,,,,,,,89
,43,,,,,,,,,,,,,,,,,,,91
,44,,,,,,,,,,,,,,,,,,,96
,45,,,,,,,,,,,,,,,,,,,103
,46,,,,,,,,,,,,,,,,,,,100
,47,,,,,,,,,,,,,,,,,,,94
,48,,,,,,,,,,,,,,,,,,,113
,49,,,,,,,,,,,,,,,,,,,104
,50,,,,,,,,,,,,,,,,,,,101
,51,,,,,,,,,,,,,,,,,,,100
,52,,,,,,,,,,,,,,,,,,,91
,53,,,,,,,,,,,,,,,,,,,92
,54,,,,,,,,,,,,,,,,,,,101
,55,,,,,,,,,,,,,,,,,,,96
,56,,,,,,,,,,,,,,,,,,,100
,57,,,,,,,,,,,,,,,,,,,94
,58,,,,,,,,,,,,,,,,,,,104
,59,,,,,,,,,,,,,,,,,,,97
,60,,,,,,,,,,,,,,,,,,,112
,61,,,,,,,,,,,,,,,,,,,104
,62,,,,,,,,,,,,,,,,,,,93
,63,,,,,,,,,,,,,,,,,,,115
,64,,,,,,,,,,,,,,,,,,,121
,65,,,,,,,,,,,,,,,,,,,114
,66,,,,,,,,,,,,,,,,,,,104
,67,,,,,,,,,,,,,,,,,,,106
,68,,,,,,,,,,,,,,,,,,,106
,69,,,,,,,,,,,,,,,,,,,115
,70,,,,,,,,,,,,,,,,,,,84
,71,,,,,,,,,,,,,,,,,,,87
,72,,,,,,,,,,,,,,,,,,,102
,73,,,,,,,,,,,,,,,,,,,103
,74,,,,,,,,,,,,,,,,,,,105
,75,,,,,,,,,,,,,,,,,,,106
,76,,,,,,,,,,,,,,,,,,,97
,77,,,,,,,,,,,,,,,,,,,99
,78,,,,,,,,,,,,,,,,,,,95
,79,,,,,,,,,,,,,,,,,,,106
,80,,,,,,,,,,,,,,,,,,,102
,81,,,,,,,,,,,,,,,,,,,114
,82,,,,,,,,,,,,,,,,,,,112
