date,transaction
"August 1, 1999",Signed Adrian Griffin as a free agent.
"August 3, 1999",Signed Wayne Turner as a free agent.
"August 3, 1999","Traded Popeye Jones , Ron Mercer and Dwayne Schintzius to the Denver Nuggets for Danny Fortson , Eric Washington , Eric Williams and a 2001 1st round draft pick ( Kedrick Brown was later selected)."
"August 5, 1999",Signed Calbert Cheaney as a free agent.
"October 21, 1999",Signed Marty Conlon as a free agent.
"November 8, 1999",Signed Doug Overton as a free agent.
"November 8, 1999",Waived Wayne Turner .
"December 13, 1999",Signed Jamel Thomas as a free agent.
"December 13, 1999",Waived Marty Conlon .
"December 23, 1999",Waived Jamel Thomas .
"June 28, 2000",Drafted Jérôme Moïso in the 1st round (11th pick) of the 2000 NBA Draft.
"June 28, 2000",Traded a 2001 2nd round draft pick ( Earl Watson was later selected) and a 2001 2nd round draft pick ( Michael Wright was later selected) to the Seattle SuperSonics for Josip Sesar .
