endpoint,status,row_count,error,output_file
standings,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000.html,
player_box_scores,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/friv/dailyleaders.cgi?month=3&day=11&year=2024,
regular_season_player_box_scores,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01/gamelog/2013,
playoff_player_box_scores,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01/gamelog/2013,
season_schedule,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_games.html,
players_season_totals,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_totals.html,
players_advanced_season_totals,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_advanced.html,
team_box_scores,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/boxscores/?day=11&month=3&year=2024,
play_by_play,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/boxscores/pbp/201910220BOS.html,
search,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/search/search.fcgi?search=james,
league_per_game_stats,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_per_game.html,
league_per_36_minutes,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_per_minute.html,
league_totals,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_totals.html,
rookie_stats,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_rookies.html,
standings_by_date,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_standings_by_date_eastern_conference.html,
attendance,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000.html,
league_transactions,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_transactions.html,
league_per_100_possessions,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_per_poss.html,
league_shooting,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_shooting.html,
playoff_per_game,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_per_game.html,
playoff_totals,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leagues/NBA_2000_totals.html,
draft_picks,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/draft/NBA_2000.html,
season_leaders,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leaders/per_season.html,
career_leaders,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/leaders/,
playoff_bracket,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/playoffs/NBA_2000.html,
season_awards,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/awards/awards_2000.html,
player_career_stats,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01.html,
player_playoff_series,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01.html,
player_splits,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01/splits/2013,
player_on_off,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01/on-off/2013,
player_shot_charts,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01/shooting/2013,
player_adjusted_shooting,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01.html,
player_play_by_play,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01.html,
player_game_highs,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01.html,
player_all_star,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01.html,
player_similarity_scores,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01.html,
player_salaries,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/players/j/jamesle01.html,
team_roster,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/2000.html,
team_injury_report,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/friv/injuries.fcgi,
team_and_opponent,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/2000.html,
team_misc_four_factors,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/2000.html,
team_schedule,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/2000_games.html,
team_transactions,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/2000_transactions.html,
team_splits,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/2000/splits/,
team_contracts,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/contracts/BOS.html,
team_lineups,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/2000/lineups/,
team_starting_lineups,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/2000_start.html,
team_on_off,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/2000/on-off/,
team_opponent_stats,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/2000.html,
franchise_history,ERROR,0,HTTPError: 429 Client Error: Too Many Requests for url: https://www.basketball-reference.com/teams/BOS/,
standings,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000.html,,,0.0,0
player_box_scores,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/friv/dailyleaders.cgi?month=3&day=11&year=2024,,,0.0,0
regular_season_player_box_scores,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01/gamelog/2013,,,0.0,0
playoff_player_box_scores,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01/gamelog/2013,,,0.0,0
season_schedule,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_games.html,,,0.0,0
players_season_totals,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_totals.html,,,0.0,0
players_advanced_season_totals,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_advanced.html,,,0.0,0
team_box_scores,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/boxscores/?day=11&month=3&year=2024,,,0.0,0
play_by_play,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/boxscores/pbp/201910220BOS.html,,,0.0,0
search,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/search/search.fcgi?search=james,,,0.0,0
league_per_game_stats,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_per_game.html,,,0.0,0
league_per_36_minutes,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_per_minute.html,,,0.0,0
league_totals,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_totals.html,,,0.0,0
rookie_stats,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_rookies.html,,,0.0,0
standings_by_date,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_standings_by_date_eastern_conference.html,,,0.0,0
attendance,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000.html,,,0.0,0
league_transactions,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_transactions.html,,,0.0,0
league_per_100_possessions,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_per_poss.html,,,0.0,0
league_shooting,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_shooting.html,,,0.0,0
playoff_per_game,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_per_game.html,,,0.0,0
playoff_totals,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leagues/NBA_2000_totals.html,,,0.0,0
draft_picks,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/draft/NBA_2000.html,,,0.0,0
season_leaders,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leaders/per_season.html,,,0.0,0
career_leaders,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/leaders/,,,0.0,0
playoff_bracket,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/playoffs/NBA_2000.html,,,0.0,0
season_awards,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/awards/awards_2000.html,,,0.0,0
player_career_stats,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01.html,,,0.0,0
player_playoff_series,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01.html,,,0.0,0
player_splits,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01/splits/2013,,,0.0,0
player_on_off,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01/on-off/2013,,,0.0,0
player_shot_charts,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01/shooting/2013,,,0.0,0
player_adjusted_shooting,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01.html,,,0.0,0
player_play_by_play,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01.html,,,0.0,0
player_game_highs,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01.html,,,0.0,0
player_all_star,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01.html,,,0.0,0
player_similarity_scores,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01.html,,,0.0,0
player_salaries,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/players/j/jamesle01.html,,,0.0,0
team_roster,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/2000.html,,,0.0,0
team_injury_report,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/friv/injuries.fcgi,,,0.0,0
team_and_opponent,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/2000.html,,,0.0,0
team_misc_four_factors,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/2000.html,,,0.0,0
team_schedule,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/2000_games.html,,,0.0,0
team_transactions,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/2000_transactions.html,,,0.0,0
team_splits,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/2000/splits/,,,0.0,0
team_contracts,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/contracts/BOS.html,,,0.0,0
team_lineups,ERROR,0,HTTPError: 403 Client Error: Forbidden for url: https://www.basketball-reference.com/teams/BOS/2000/lineups/,,,0.0,0
