endpoint,status,data_rows,file_bytes,error_note
standings,PARTIAL,29,1175,AttributeError: eastern_conference_table is None
player_box_scores,PARTIAL,124,13777,InvalidDate: 2024-03-11
regular_season_player_box_scores,OK,76,7704,
playoff_player_box_scores,ERROR,0,0,InvalidPlayerAndSeason: jamesle01/2013
season_schedule,PARTIAL,1264,84521,ValueError: time data Date does not match format
players_season_totals,OK,468,51903,
players_advanced_season_totals,OK,468,77083,
team_box_scores,OK,4,523,
play_by_play,ERROR,0,0,IndexError: list index out of range
search,OK,0,2,
league_per_game_stats,OK,497,65101,
league_per_36_minutes,OK,497,36380,
league_totals,OK,497,57912,
rookie_stats,OK,0,273,
standings_by_date,OK,162,1357,
attendance,OK,29,770,
league_transactions,OK,349,29891,
league_per_100_possessions,OK,497,36414,
league_shooting,OK,497,23569,
playoff_per_game,OK,182,23595,
playoff_totals,OK,182,18617,
draft_picks,OK,0,150,
season_leaders,OK,250,7326,
career_leaders,OK,96,306,
playoff_bracket,OK,105,334,
season_awards,OK,16,243,
player_career_stats,OK,23,3117,
player_playoff_series,OK,0,277,
player_splits,OK,0,103,
player_on_off,OK,3,169,
player_shot_charts,OK,0,33,
player_adjusted_shooting,OK,0,146,
player_play_by_play,OK,23,624,
player_game_highs,OK,23,117,
player_all_star,OK,23,1353,
player_similarity_scores,OK,0,30,
player_salaries,OK,22,524,
team_roster,OK,15,1063,
team_injury_report,OK,0,25,
team_and_opponent,OK,8,400,
team_misc_four_factors,OK,0,92,
team_schedule,OK,82,1476,
team_transactions,OK,12,986,
team_splits,OK,58,5420,
team_contracts,OK,18,314,
team_lineups,OK,20,1852,
team_starting_lineups,OK,82,2176,
team_on_off,OK,45,1193,
team_opponent_stats,OK,8,400,
franchise_history,OK,80,1326,
